,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,
13992,862,38,,A comfortable shirt that has a touch of dressy to it.,4,1,2,General,Tops,Knits,
2603,863,64,Very cute,"A couple of months ago i bought the white in this top in my usual size small. it's cute & flowy & like to wear it with ankle or capri leggings. have worn with shorts as well. casual & cute! plus i love cotton anyways. 5'3"", 117#. think i'll go ahead with the other colors since the heat will be arriving soon....",5,1,0,General,Tops,Knits,
8409,1046,41,Yessssss!!!!!,"A culotte and basketball short hybrid. these culottes are heaven....very comfortable. the are great on windy summer days or walking around the city (between the buildings are like wind tunnels). the waist does run alittle large...i have a 29-30in waist and the medium petite fit my lower waist, but is large on my natural waist...a small petite would be better, so size down one size on the waist. plus the waist band is stretchy, so there is a lot of forgiveness in sizing down. plus the petite's le",5,1,0,General,Bottoms,Pants,
4339,1094,29,Runs very small,"A cute dress, though waist a little too high (more of an empire waist... hitting at widest part of rib cage). this looks like it should be a stretchy knit dress, but the detailing has no give whatsoever and the dress runs quite small. i usually wear a 00, but though i could get it zipped, it wasn't comfortable, and if i want to keep it, i'll need to size up to a 0. i'm 5'6"", 32b-24-35.",4,1,26,General,Dresses,Dresses,
12870,1078,48,Wish it had a little more shape,"A cute dress. i did not have the issue with the slip being too tight. i wish it had a little more shape to it. while flowy, it looks a tiny bit tent-like. i still like it and wear it into fall with booties and boots!",4,1,0,General Petite,Dresses,Dresses,
1745,888,54,Nice top,A cute top. slightly tight in the upper area. debated returning but decided to keep as the top is unique and i know that i will wear it frequently. aleardy thinking of way to wear all year around! runs small,5,1,0,General,Tops,Knits,
4563,1187,34,"Cute...but not ""amazing""","A cute top. the peplum seam hits me at the right spot on my waist. for my curvy figure, this isn't always the case. i also am drawn to tanks that i can actually wear a bra underneath without showing bra straps.

i usually vary between a medium and a large in deletta, but definitely needed a large.

i ordered the ""lavender"" color, which is disappointing; a dull gray. i've decided to return and order the coral instead.",3,1,2,General,Tops,Knits,
6667,975,48,Love!,A fabulous light weight jacket. love the detail and fit is perfect and comfortable. the jacket was not so interesting on the display table but once tried on it became mine and i suspect this is going to sell out. i really love the light color denim trim on the lapels. a keeper!  i purchased a medium and that is my standard size in retailer jackets.  for reference: 34 dd  and 145 pounds and 5'4 height.,5,1,1,General Petite,Jackets,Jackets,
7219,868,53,"Versatile, comfy, we'll made!","A feminine yet mature looking cami. i did not need to wear a bra because the material is thick and stretchy (i am a 34a). it looks great with a pencil skirt as well as chino shorts. feels soft and comfy. can dress it up or down. i took a small and it fit perfectly  (l am 5'4"" 120lbs).",5,1,3,General,Tops,Knits,
22484,904,42,Pretty but size down!,"A few things: this runs very large. i'm usually a s/m (i'm a little busty so i sometimes size up!) and i'll definitely need an xs in this, i'm swimming in the small. the blue is definitely a steel blue/grey, not really navy. the material is very thin - i thought it would be a bit more substantial. it's very lightweight. that said, it's very pretty, i love the neckline which can be worn as a cowl neck or off the shoulder, and i'll give the xs a shot instead!",3,1,2,General Petite,Tops,Fine gauge,
19773,46,54,Truly a fine gown for the feminine!,A finely laced sheer bustier along with a gown split along the sides makes for a lovely sleeping garment. the material is cooling and the lace is not itchy.,5,1,0,Initmates,Intimate,Intimates,
19455,862,35,,"A flattering soft basic! i'm 5'2"" 120 lbs and purchased the small on sale.",4,1,0,General,Tops,Knits,
18,1120,32,Super cute and cozy,"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5' 5'', about 135 and the small fits great.",5,1,0,General,Jackets,Outerwear,
9077,1123,31,Awesome jacket!,"A friend of mine has several of these jackets and i always asked ""where did you find that from?"" the answer? retailer vegan leather jackets! i bought 2 when they were on sale and i love both (grey and dark brown/purple). they are super comfy and surprisingly warm. can dress up or dress down for any occasion. i can't wait to buy more!",5,1,0,General,Jackets,Outerwear,
22376,1072,51,Fun dress,"A fun dress to just throw on go, nice details in the bodice, mix of blues in the prints, little longer in back is nice detail for those of us who want a shorter dress but not the worry of flashing from behind",5,1,0,General,Dresses,Dresses,
22023,860,34,A nice twist on the traditional peplum,"A fun top!

i tried on both the medium and large (i'm between sizes, 5'4"", 34g) and preferred the large. the medium waist rode up a bit on my torso, so the large stayed down a bit. also, the medium pleats did not fall as nicely on my chest.",4,1,0,General Petite,Tops,Knits,
9866,1078,28,Whimsical romper,"A fun, casual romper. i loved the pink color (not usually my thing), which looks great with darker skin. like another reviewer said, the waist is quite small so i would recommend sizing up one or two sizes (i took a size 6 in this, but am usually a 2/4) - this will make the top part a bit blousy, but i think that adds to the appeal/ look.",5,1,5,General,Dresses,Dresses,
6734,986,68,Nice concept. disappointing reality.,"A good part of my closet is filled with retailer clothes. i mix them with my basics, scarves and jewelry. so, i immediately thought of a dozen ways this kimono could jazz up anything from skinny jeans to slip dresses, even though i felt it was pretty pricey. when it arrived, i was more than disappointed in the cheapness of the fabric. it does nothing for any of my intended clothes, so it is going back asap.",2,0,16,General,Jackets,Jackets,
23197,940,44,Nice but not in love,A good sweater but something about it was just not right for me. just didn't feel like i would wear it.,4,1,1,General,Tops,Sweaters,
5801,818,25,Super cute,A gorgeous and vibrant print! love the ruffles on the bottom and the detailing of the straps in the back. perfect for a beach day!,5,1,3,General,Tops,Blouses,
17076,821,31,"Great, versatile piece",A great addition to any wardrobe. can go with nice trousers and dressier shoes for work or jeans and trainers for a casual look. i didn't find it to run small and indeed thought it fit as i'd expect.,5,1,0,General,Tops,Blouses,
2893,863,62,What a darling t.,"A great basic t, so very much cuter than most. i have black and white both and wish it came in more colors.",5,1,3,General,Tops,Knits,
10148,872,47,A versatile keeper,"A great casual top for warm weather - the linen ensures its structure stands out, and the structure gives it more interest than a plan tee. does a fine job of hiding minor midsection lumpiness. can be dressed up a bit if worn with linen or cotton trousers. i bought the yellow and was pleased to find it wasn't too transparent. i bought the small and found it tts for an american small (bigger than a uk or european small). a versatile keeper.",5,1,0,General Petite,Tops,Knits,
12436,863,42,Nice tee,A great everyday tee!! dress it up a bit with a great gold necklace!! looks nice with jeans and brown boots!!,5,1,0,General,Tops,Knits,
4227,1081,37,Great comfortable casual dress,A great little dress that can be dressed up or down.,5,1,0,General Petite,Dresses,Dresses,
23425,430,23,,A great long line bra! beautiful and well made however it's tough to get the fit perfectly right. i usually wear a 32 b or 34 a and am 115lbs. the small was the best fit as the 32 (xs) was a very small 32. i could almost say it more of a 30 if that's even a size. it also rubs my skin few places so definitely not meant to be worn for more than a few hours. otherwise i recommend it!,4,1,1,Initmates,Intimate,Intimates,
3678,1025,39,,"A great skinny jean, these grey beauties are flattering and light weight. they fit true to size, but seems a bit on the long side, bunching oddly at the ankle when wearing them with booties. hopefully they hold up to some heavy wear.",4,1,0,General,Bottoms,Jeans,
6514,903,39,Love,"A great staple to pull out on chilly mornings. i am 5'9"" so the arm length was perfect",5,1,0,General Petite,Tops,Fine gauge,
6160,900,54,Great casual summer sweater,"A great sweater to throw over just about anything. i love it, but the only reason i couldn't give it 5 stars is because you must be very carful with it, as it can snag on anything. the fabric is similar to intertwined ribbons. the first time i put it on i got a snag right away, but it was easily pulled trough to the inside. now i am just super cautious. i do love it though. very comfortable and super casual. not heavy at all, but just enough to be happy to have to throw on when the cool spring/s",4,1,2,General Petite,Tops,Fine gauge,
5748,868,21,Closet essential,"A great white blouse! i expected this top to be sheer and yet it's quite opaque. i bought the white in a size small, i find it true to size and the silhouette is very flattering. relaxed yet super polished look.",5,1,0,General,Tops,Knits,
