"ID","questionType"
4881,0
55493,0
74615,1
19376,1
62631,0
70518,1
110213,1
67486,1
102416,0
77025,1
25462,0
83931,1
651,0
26192,0
94645,1
113958,0
31038,0
98622,0
109534,0
54944,1
13957,1
93903,1
91840,1
18881,1
66701,0
1384,0
62770,1
3509,0
66642,1
55194,1
25725,0
30536,1
84049,0
104880,1
92859,0
10154,1
61945,1
47630,1
28254,1
9149,0
63974,1
112853,1
112260,0
7031,1
103239,1
79448,1
15243,0
49342,0
5960,0
78380,0
23967,1
51795,0
43961,1
39525,1
105409,1
114048,1
105167,0
96010,0
97290,0
54229,0
71119,1
111566,0
35269,1
87490,0
51592,0
90158,1
109088,0
76052,1
94284,0
2683,0
51917,1
6748,0
17163,0
98574,1
29549,0
110521,1
81689,0
55503,1
61675,1
75448,1
2741,0
616,0
66305,1
37898,0
24167,0
101509,0
13145,1
18694,1
93895,0
25141,1
23766,0
8114,0
2815,1
73697,1
80183,1
88685,0
46367,1
86684,1
16598,0
78576,0
73801,1
54125,1
84446,0
39343,1
8027,0
20302,1
82512,0
29066,0
68092,1
11527,0
61020,1
52173,1
37644,0
103856,0
64897,0
79333,1
60073,0
49764,1
36082,1
77182,1
89456,0
114344,0
44375,0
100640,1
46695,1
11968,0
51002,1
29718,1
69580,1
97610,1
16188,1
74688,1
31731,0
46355,0
40979,0
9801,0
30575,0
32188,1
113211,1
63148,1
53030,0
64246,1
40812,0
107438,0
94553,1
24436,1
60268,0
54536,0
40432,1
14424,0
38956,1
39098,1
83842,1
41192,0
6138,0
22793,1
40046,0
64012,0
64798,0
73901,1
74919,1
111591,1
97216,0
5772,0
19777,0
49260,1
127,0
35390,1
99305,0
62704,1
77547,0
4250,0
79784,0
31920,0
109394,0
93662,1
94647,1
36930,1
55384,1
61343,0
107604,0
76884,0
42906,1
41412,0
42190,0
8682,0
41322,1
57432,1
59161,0
20209,1
84747,1
31198,1
85771,1
102663,0
33413,1
51518,0
48972,1
46087,1
41065,1
