"ID","question","questionType"
17854,"The label online says the serving size is 3 tbsp....the product i received says the serving size is 1 tbsp...which one is correct??",0
74414,"Does anyone know if this will work with a recently-off-contract- Verizon iPhone 4s??",0
41775,"I was wondering if this product will fit my Sony Xperia Z Ultra (XL39H C6806) Dimensions: 179.4 x 92.2 x 6.5 mm (7.06 x 3.63 x 0.26 in)?",0
88828,"can this set work with I phone 5S please?",1
47105,"Charge while in phone? Can you still charge these batteries while in the phone AND can you use a standard micro-usb charger on them?",0
30700,"has anyone used this with a SAMSUNG A-637 phone and does it work with it ????? thanks",0
22362,"Can this beverage center maintain beverages at a temperature of 32 degrees F?",1
28631,"Will the work with lg optimus g ls970?",1
21009,"I need a disposal that chops when you push down the plunger - not a separate power switch on the wall. Does anyone know if that s how this works?",0
4071,"is this umf 15+ raw honey ?",1
15574,"Hi has anyone tried any other brands such as wedderspoon? I am so confused on which to choose. I am using it for cosmetics purposes for acne.",0
63702,"Is it GSM ?",1
28936,"This bluetooh is universal can be compatible with a sony xperia errisson??",0
86852,"Is this a GENUINE Samsung branded cable? Does it have the numbers E9 and ECC1DU2BBE printed under the Samsung logo? Good quality?",0
62831,"How do you make this phone to work with Verizon wireless. I put the chip into the phone but says no network found.",0
75487,"is this phone really unlocked? will it work in venezuela?",0
88857,"Why are these particular versions of the Defender (camo) almost 20USD more than the standard black ones on Amazon?",0
71930,"How do you take out the broken screen and put this one in?",0
65567,"Does this phone come with a battery?",1
40684,"Will this work on nokia lumia 521?",1
102869,"Does the face of your phone face in toward the case or out away from the case? Does the case hinge open to reveal the phone or does it slide sideways",0
93091,"Does it have port protection on the charging port and head phone jack?",1
18707,"ingredients?",0
30166,"Is this a real LG battery or an aftermarket? thank you",0
76214,"is it just for iphone 5",1
37140,"Will this work for iPhone 5s?",1
14478,"Why have you not updated your site to say these are grown in China?",0
40043,"Does this phone works for cleartalk? Thanks",1
26225,"Is this available in a back vent instead of top vent exhaust?",1
107462,"Can I use this watch phone in my net10 wireless provider? I have a SIM card like iPhone size but that sim is a regular one just cut it.",1
1157,"How many times a week or a month can you drink this tea? Can you drink green teas and dandelion root teas in the same week?",0
75401,"are the buttons tough to press through the case?",1
10413,"How strong is the peppermint flavor? I am looking for a strong flavor",0
10466,"what is the expiration date for the product I selected (12 pack 5 hour energy for 22.44)",0
11602,"Does this salt contain iodine",1
76634,"Is the Screen protector included?",1
110529,"Is it just plain green on the back as well?",1
94916,"How often do you have to purchase minutes. I m sure I ll not use the minutes it comes with, but I assume I will have to by additional minutes anyway.",0
63429,"does this phone have a speaker phone on it",1
20242,"will this replace manufacturer part 74005301",1
84588,"Will this fit on the verizon S4 galaxy?",1
60172,"How is this compared to the Logitech Bluetooth Wireless Speaker - OLD MODEL?",0
89316,"Can video be streamed to the Windows app, or only Android/iOS?",0
62251,"Will this fit the iPhone 4 as well as the 4S?",1
35540,"Can you still use headphone controls?",1
78280,"does this call out callers name",1
53897,"Does it charge Torch 9800. Thanks.",1
99639,"Will this fit LG G2 4G LTE Model?",1
1417,"Is it made from concentrate?",1
14709,"The part that your mouth comes into contact with to sip from--is it glass or plastic?",0
3588,"Are there grape flavored rings in this pack?",1
78272,"can you connect more than one phone at the same time to this headset?",1
83573,"Hows the charging with this? Does it work well?",0
69084,"Does this have the apt x codec? a",1
58295,"Is it still waterproof with the adapter in?",1
108053,"can you put this phone on with a contact with sprint or is it prepaid only",0
103936,"Does the watch time always show, or is it only visible when you push the button? Also, does it only vibrate when you get a call or does it make noise",0
69362,"Net 10 only works with sim cards.",0
80560,"will this fit the model SM-G730A?",1
55282,"Does this phone have room for a SIM card?",1
3876,"I figure the grains are whole but I need to know for sure if their are any amount of broken or cracked grains in the box and if so how much is broken?",0
26156,"Is the product same as the picture you posted? Are these all included -  metal box enclosing coin slide &amp; locked coin vault ? Any keys?",0
48248,"Dose it function well with calls apps and texts ... dose it load right?",0
53186,"will the galaxy note fit in the armband?",1
63493,"is this phone made in america?",1
38086,"For some reason, the skin protector of the case sticks to the glass face of the phone like plastic wrap. Does anybody experienced the same?",1
26085,"would this battery work for a devilbliss unit?",1
91875,"dose this work for the c6602",0
88892,"Is it possible to answer and make phone calls through the case? And how is the quality of the sound?",0
31316,"Is this product new, Used or erfurbished?",1
47536,"Does this cover the glass?",1
106293,"Does anyone have experience with pairing this speaker with a bluetooth land line phone? How to please",1
37397,"how fast is the internet and all that stuff?",0
104313,"what are the dimensions of this unit?",0
22167,"WILL THIS FILTER FIT IN MY KITCHEN AID?",1
86316,"will this fit the samsung galaxy S4 SGH-1337?",1
56230,"Will this hold my Samsung Galaxy Tab Pro 8.4  Tablet?",1
68525,"Will an IPhone 6 Plus fit on it?",1
83506,"One reviewer stated that it wont fit the Note 2 which I have.. is this true? Will it fit note 2 or 3?",0
38671,"how to change the phone language to english",0
63616,"Can this dock be used with a Note 2 that has the otterbox defender case on it?",1
67617,"One review says it is not touch screen compatible? This is confusing. Can you clarify please?",0
94035,"The glass by itself has adhesive or I have to stick the glass with the pre-cut adhesive that is in the kit?",0
57590,"Is the color of the lower half of this case black. Some pictures look as though it is brown. I am interested in the purple case",1
39793,"will this phone work with Straight Talk?",1
60487,"Will this work for 5c?",1
65662,"Does this item also work for GT-I9500Z ?(S4)",1
105183,"Is it compatible with the International/Global version (D802 Model) ?",1
5430,"What are the 10 colors?",0
20767,"Does it fit WFW86HEBC",1
40562,"What does it mean UNLOCKED or JAILBROKEN",0
30145,"Does this item have an internal fan? I read the 175W version does not but want to know whether the 300W version has one or not",1
94379,"Does it fit iPod 5 ?",1
5685,"What is the shelf life of honey? I don t want to waste it if it is a short time because of the plight of the bees. Thanks in advance for any info.",0
106644,"I am concerned with the temperature swings of the inside of a vehicle and was wondering how the 3M adhesive would hold up.",0
76318,"Does it sound better and louder than laptop speakers?",1
113360,"I have this case and love it. Can I buy just the outer shell in a different color?",1
58526,"good day, this handset is unlocked, works in Brazil? I await response. grateful.",0
12025,"will they work in b&amp;d model hcc100 one cup coffeemaker.",1
